Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
6/11/20,AirNow,39,AirNow,38
6/12/20,AirNow,93,AirNow,57
6/13/20,AirNow,50,AirNow,26
6/14/20,AirNow,46,AirNow,20
6/15/20,AirNow,51,AirNow,25
6/16/20,AirNow,48,AirNow,30
6/17/20,AirNow,32,AirNow,35
6/18/20,AirNow,34,AirNow,27
6/19/20,AirNow,42,AirNow,30
6/20/20,AirNow,44,AirNow,37
6/21/20,AirNow,43,AirNow,30
6/22/20,AirNow,54,AirNow,38
6/23/20,AirNow,58,AirNow,52
6/24/20,AirNow,49,AirNow,51
6/25/20,AirNow,64,AirNow,39
6/26/20,AirNow,67,AirNow,43
6/27/20,AirNow,48,AirNow,53
6/28/20,AirNow,51,AirNow,44
6/29/20,AirNow,46,AirNow,40
6/30/20,AirNow,47,AirNow,31
7/1/20,AirNow,45,AirNow,28
7/2/20,AirNow,44,AirNow,52
7/3/20,AirNow,45,AirNow,60
7/4/20,AirNow,45,AirNow,59
7/5/20,AirNow,48,AirNow,64
7/6/20,AirNow,47,AirNow,53
7/7/20,AirNow,61,AirNow,49
7/8/20,AirNow,42,AirNow,48
7/9/20,AirNow,43,AirNow,41
7/10/20,AirNow,20,AirNow,20
7/11/20,AirNow,48,AirNow,42
7/12/20,AirNow,47,AirNow,35
7/13/20,AirNow,44,AirNow,33
7/14/20,AirNow,43,AirNow,28
7/15/20,AirNow,49,AirNow,33
