Date,Source Ozone AQI Value,Ozone_AQI Value,Source PM2.5 AQI Value,PM2.5_AQI_Value
6/22/19,AQS,51,AQS,37
6/23/19,AQS,33,AQS,35
6/24/19,AQS,46,AQS,35
6/25/19,AQS,64,AQS,31
6/26/19,AQS,50,AQS,52
6/27/19,AQS,100,AQS,37
6/28/19,AQS,64,AQS,46
6/29/19,AQS,143,AQS,58
6/30/19,AQS,80,AQS,53
7/1/19,AQS,61,AQS,53
7/2/19,AQS,84,AQS,85
7/3/19,AQS,90,AQS,55
7/4/19,AQS,47,AQS,102
7/5/19,AQS,39,AQS,121
7/6/19,AQS,43,AQS,51
7/7/19,AQS,48,AQS,65
7/8/19,AQS,100,AQS,65
7/9/19,AQS,97,AQS,58
7/10/19,AQS,51,AirNow,43
7/11/19,AQS,40,AirNow,33
7/12/19,AQS,90,AQS,48
7/13/19,AQS,151,AQS,55
7/14/19,AQS,46,AQS,53
7/15/19,AQS,24,AQS,35
7/16/19,AirNow,39,AQS,30
7/17/19,AirNow,147,AQS,35
7/18/19,AirNow,87,AQS,48
7/19/19,AirNow,154,AQS,53
7/20/19,AirNow,143,AQS,65
7/21/19,AirNow,133,AQS,29
7/22/19,AQS,39,AQS,26
7/23/19,AQS,36,AQS,35
7/24/19,AQS,77,AQS,56
7/25/19,AQS,84,AQS,66
7/26/19,AQS,93,AQS,65
7/27/19,AQS,54,AQS,52
7/28/19,AQS,46,AQS,57
7/29/19,AQS,46,AQS,40
7/30/19,AQS,40,AQS,30
7/31/19,AQS,87,AirNow,43
8/1/19,AQS,87,AQS,50
8/2/19,AQS,105,AQS,56
8/3/19,AQS,77,AQS,53
8/4/19,AQS,100,AQS,52
8/5/19,AQS,156,AQS,64
8/6/19,AQS,47,AirNow,58
8/7/19,AQS,77,AQS,39
8/8/19,AQS,77,AirNow,42
8/9/19,AQS,61,AirNow,40
8/10/19,AQS,77,AQS,52
8/11/19,AQS,46,AQS,51
8/12/19,AQS,44,AQS,43
8/13/19,AQS,41,AQS,30
8/14/19,AQS,43,AirNow,33
8/15/19,AQS,58,AQS,35
8/16/19,AQS,47,AQS,48
8/17/19,AQS,44,AQS,48
8/18/19,AQS,44,AQS,55
8/19/19,AQS,108,AQS,53
8/20/19,AQS,34,AQS,42
8/21/19,AQS,50,AQS,35
8/22/19,AQS,36,AQS,39
8/23/19,AQS,43,AQS,40
8/24/19,AQS,40,AQS,32
8/25/19,AQS,30,AQS,50
8/26/19,AQS,35,AQS,40
8/27/19,AQS,38,AQS,24
8/28/19,AQS,42,AQS,32
8/29/19,AQS,41,AQS,48
8/30/19,AQS,37,AQS,43
8/31/19,AQS,39,AQS,41
9/1/19,AQS,36,AQS,45
9/2/19,AQS,49,AQS,43
9/3/19,AQS,42,AirNow,52
9/4/19,AQS,44,AQS,41
9/5/19,AQS,77,AirNow,38
9/6/19,AQS,43,AQS,39
9/7/19,AQS,50,AirNow,27
9/8/19,AQS,37,AirNow,40
9/9/19,AQS,77,AQS,53
9/10/19,AQS,61,AirNow,62
9/11/19,AQS,51,AirNow,62
9/12/19,AQS,50,AQS,68
9/13/19,AQS,38,AirNow,47
9/14/19,AQS,48,AQS,45
9/15/19,AQS,54,AQS,56
9/16/19,AQS,80,AirNow,64
9/17/19,AQS,87,AQS,57
9/18/19,AQS,112,AQS,61
9/19/19,AQS,129,AQS,60
9/20/19,AQS,71,AQS,58
9/21/19,AQS,37,AQS,63
9/22/19,AQS,32,AQS,48
9/23/19,AQS,34,AQS,43
9/24/19,AQS,44,AQS,57
9/25/19,AQS,33,AQS,59
9/26/19,AQS,38,AQS,43
9/27/19,AQS,46,AQS,52
9/28/19,AQS,43,AQS,58
9/29/19,AQS,39,AQS,53
9/30/19,AQS,42,AQS,54
10/1/19,AQS,41,AQS,47
10/2/19,AQS,46,AQS,51
10/3/19,AQS,23,AQS,40
10/4/19,AQS,36,AQS,43
10/5/19,AQS,42,AQS,43
10/6/19,AQS,34,AQS,51
10/7/19,AQS,31,AQS,39
10/8/19,AQS,44,AQS,56
10/9/19,AQS,47,AQS,43
10/10/19,AQS,35,AQS,55
10/11/19,AQS,24,AQS,25
10/12/19,AQS,36,AQS,55
10/13/19,AQS,39,AQS,32
10/14/19,AQS,42,AQS,51
10/15/19,AQS,33,AQS,52
10/16/19,AQS,27,AQS,25
10/17/19,AQS,34,AQS,40
10/18/19,AQS,40,AQS,47
10/19/19,AQS,39,AQS,38
10/20/19,AQS,33,AQS,40
10/21/19,AQS,34,AQS,28
10/22/19,AQS,33,AQS,20
10/23/19,AQS,42,AirNow,31
10/24/19,AQS,23,AQS,38
10/25/19,AQS,27,AQS,49
10/26/19,AQS,21,AQS,46
10/27/19,AQS,33,AQS,46
10/28/19,AQS,19,AQS,52
10/29/19,AQS,22,AQS,29
10/30/19,AQS,19,AQS,38
10/31/19,AQS,26,AQS,41
11/1/19,AirNow,34,AirNow,60
11/2/19,AirNow,31,AQS,49
11/3/19,AirNow,36,AQS,33
11/4/19,AirNow,31,AirNow,54
11/5/19,AirNow,33,AQS,40
11/6/19,AirNow,25,AQS,67
11/7/19,AQS,27,AQS,43
11/8/19,AQS,30,AQS,34
11/9/19,AQS,27,AQS,54
11/10/19,AQS,36,AQS,58
11/11/19,AQS,28,AQS,51
11/12/19,AQS,30,AQS,23
11/13/19,AQS,26,AQS,52
11/14/19,AQS,24,AQS,54
11/15/19,AQS,31,AQS,71
11/16/19,AQS,24,AQS,78
