GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",36,    Transportation and warehousing,9226971,9233278,9419711,10186405,11057002,12074589,12029306,12327391,11771714,11941976,13140216,13589049,13622845,15016854,17953519,18755228,20825406,22765011
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",87,Natural resources and mining,2931378,3030359,4018051,(D),7256673,9880600,(D),22156417,14126877,(D),16282706,13666384,14052435,15717589,(D),(D),(D),(D)
19100,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",89,Transportation and utilities,10826932,10909983,11178514,(D),12984276,(D),(D),14478452,13802835,(D),15613609,16053635,16027741,17526282,(D),(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",6,"    Mining, quarrying, and oil and gas extraction",916982,706864,724432,1027703,1437341,1674913,2066620,2644205,2198734,2473321,2838229,2847235,2982367,3487980,2999908,2142448,2406681,2740163
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",10,    Utilities,673737,(D),741800,(D),900194,1201106,(D),(D),785639,(D),937983,(D),(D),859868,908089,(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",11,    Construction,6539934,6393908,(D),(D),7028966,7111052,7066499,6762944,5722851,4632981,4846492,5318567,6746860,8111338,9261025,10405146,11250563,12091193
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",12,    Manufacturing,(D),(D),(D),(D),(D),(D),(D),10648330,(D),(D),(D),(D),11875300,12603357,13028789,12775907,(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6908578,8008469,9017895,8955439,9478376,10507132
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",,Addenda:,,,,,,,,,,,,,,,,,,
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",87,Natural resources and mining,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),8868337,9925984,(D),(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",99884,98664,99490,118275,151789,174970,145478,152487,173304,237700,258446,252322,277081,282270,357035,371224,424325,421406
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",10,    Utilities,(D),1472701,(D),(D),1607117,1901353,2017368,2239217,2275743,2294802,2240122,(D),(D),(D),(D),(D),2382198,2583974
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",11,    Construction,8009278,7742295,7894289,8574233,8683782,8025690,7245052,6038746,5226599,5211590,5269985,5713950,6398678,7224625,8057197,8675079,9412967,9814154
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",12,    Manufacturing,39482879,40631164,41531806,37969414,38216013,36227882,38726494,30908363,22736334,30965867,34839248,39418486,43474300,44556153,46614865,48042875,48575172,50431193
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),6127442,6537061,(D),(D),7710050,(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",87,Natural resources and mining,(D),237737,196120,(D),(D),(D),245570,259187,272674,331175,409936,418639,(D),(D),(D),(D),(D),(D)
19820,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",957128,959081,1184136,1566795,1908409,2573805,3126289,3660174,2587623,2741917,3010746,3072013,2968205,2768210,1637899,1359129,1119753,1205091
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",10,    Utilities,3838822,4073880,3865751,3658313,3828768,4605242,4651878,4580898,4716970,4364751,4708080,5003760,5048681,5187231,5493056,5647381,6455661,6397604
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",11,    Construction,16345667,16755997,19626320,25523791,29132905,31458007,30236221,23829664,19457108,17640517,16193544,19864297,22494478,23986438,26842191,29477047,32022574,33738114
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",12,    Manufacturing,64403901,59684162,64317394,66052819,71845106,76268223,77828082,82052125,76938441,74537445,73925867,74273610,77429660,79456427,82734504,85123699,89715268,93939097
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",36,    Transportation and warehousing,13410626,13481767,13746073,15275313,15969470,18265116,18651284,18556809,17554759,18834358,19466668,19743657,21099448,22570973,24815741,26689143,28297680,32038330
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",87,Natural resources and mining,1361043,1422725,1784113,2107030,2536007,3318718,3662063,4308880,3094769,3129970,3421701,3533556,3417738,3216417,2049633,1709780,1435480,1481787
31080,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",89,Transportation and utilities,17249448,17555647,17611823,18933626,19798238,22870358,23303162,23137706,22271729,23199109,24174748,24747417,26148129,27758204,30308797,32336523,34753342,38435934
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",6,"    Mining, quarrying, and oil and gas extraction",104386,106787,106407,114768,161381,171174,319304,297970,151985,183240,276729,317585,244569,186860,186595,225480,284481,333189
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",10,    Utilities,2319183,1715923,1662380,1746727,1722075,1987001,2238186,2389052,2723650,3098556,3601355,3636263,3632086,3833648,4132472,4242072,4644487,4734963
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",11,    Construction,10449665,11274433,12391081,14570576,17940216,20152626,18115134,13263932,9659561,11798944,12077385,8588913,8544322,11036576,13334464,15993324,17247414,18697564
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",12,    Manufacturing,8324354,8403385,8362290,8952752,9565970,10471915,11096018,9852551,9188610,8887310,8644379,8476415,9096415,9722045,10911377,11425505,11766566,12546288
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",36,    Transportation and warehousing,(D),(D),(D),(D),8648545,9920050,9686593,10026411,9697295,10378755,10674302,10846227,12249862,13448573,13601906,13646510,14627330,15761827
33100,"Miami-Fort Lauderdale-Pompano Beach, FL (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,,,,,,,,,
