Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
1/1/07,AQS,29,AQS,34
1/2/07,AQS,28,AQS,45
1/3/07,AQS,31,AQS,36
1/4/07,AQS,31,AQS,37
1/5/07,AQS,28,AQS,33
1/6/07,AQS,31,AQS,29
1/7/07,AQS,31,AQS,38
1/8/07,AQS,32,AQS,32
1/9/07,AQS,42,AQS,57
1/10/07,AQS,43,AQS,43
1/11/07,AQS,41,AQS,43
1/12/07,AQS,43,AQS,42
1/13/07,AQS,42,AQS,31
1/14/07,AQS,40,AQS,27
1/15/07,AQS,39,AQS,33
1/16/07,AQS,32,AQS,39
1/17/07,AQS,36,AQS,54
1/18/07,AQS,31,AQS,41
1/19/07,AQS,43,AQS,55
1/20/07,AQS,40,AQS,45
1/21/07,AQS,41,AQS,42
1/22/07,AQS,34,AQS,37
1/23/07,AQS,38,AQS,51
1/24/07,AQS,31,AQS,45
1/25/07,AQS,25,AQS,41
1/26/07,AQS,44,AQS,45
1/27/07,AQS,44,AQS,43
1/28/07,AQS,39,AQS,35
1/29/07,AQS,36,AQS,50
1/30/07,AQS,46,AQS,55
1/31/07,AQS,61,AQS,59
2/1/07,AQS,54,AQS,40
2/2/07,AQS,31,AQS,59
2/3/07,AQS,34,AQS,55
2/4/07,AQS,41,AQS,44
2/5/07,AQS,45,AQS,33
2/6/07,AQS,45,AQS,36
2/7/07,AQS,49,AQS,45
2/8/07,AQS,74,AQS,51
2/9/07,AQS,54,AQS,58
2/10/07,AQS,77,AQS,77
2/11/07,AQS,80,AQS,74
2/12/07,AQS,49,AQS,54
2/13/07,AQS,37,AQS,35
2/14/07,AQS,33,AQS,35
2/15/07,AQS,31,AQS,62
2/16/07,AQS,36,AQS,74
2/17/07,AQS,48,AQS,56
2/18/07,AQS,44,AQS,42
2/19/07,AQS,46,AQS,54
2/20/07,AQS,43,AQS,55
2/21/07,AQS,45,AQS,54
2/22/07,AQS,84,AQS,64
2/23/07,AQS,90,AQS,60
2/24/07,AQS,54,AQS,41
2/25/07,AQS,45,AQS,40
2/26/07,AQS,32,AQS,53
2/27/07,AQS,36,AQS,54
2/28/07,AQS,50,AQS,56
3/1/07,AQS,41,AQS,42
3/2/07,AQS,33,AQS,64
3/3/07,AQS,38,AQS,56
3/4/07,AQS,44,AQS,36
3/5/07,AQS,71,AQS,51
3/6/07,AQS,64,AQS,42
3/7/07,AQS,64,AQS,41
3/8/07,AQS,50,AQS,47
3/9/07,AQS,48,AQS,45
3/10/07,AQS,58,AQS,54
3/11/07,AQS,46,AQS,46
3/12/07,AQS,46,AQS,35
3/13/07,AQS,90,AQS,54
3/14/07,AQS,84,AQS,60
3/15/07,AQS,50,AQS,42
3/16/07,AQS,44,AQS,45
3/17/07,AQS,64,AQS,46
3/18/07,AQS,74,AQS,48
3/19/07,AQS,54,AQS,50
3/20/07,AQS,49,AQS,46
3/21/07,AQS,48,AQS,38
3/22/07,AQS,42,AQS,38
3/23/07,AQS,43,AQS,40
3/24/07,AQS,42,AQS,38
3/25/07,AQS,38,AQS,31
3/26/07,AQS,42,AQS,45
3/27/07,AQS,44,AQS,59
3/28/07,AQS,44,AQS,42
3/29/07,AQS,44,AQS,36
3/30/07,AQS,49,AQS,65
3/31/07,AQS,50,AQS,35
4/1/07,AQS,50,AQS,34
4/2/07,AQS,44,AQS,33
4/3/07,AQS,44,AQS,37
4/4/07,AQS,50,AQS,30
4/5/07,AQS,48,AQS,40
4/6/07,AQS,101,AQS,56
4/7/07,AQS,80,AQS,53
4/8/07,AQS,80,AQS,59
4/9/07,AQS,61,AQS,60
4/10/07,AQS,32,AQS,57
4/11/07,AQS,38,AQS,32
4/12/07,AQS,44,AQS,46
4/13/07,AQS,71,AQS,55
4/14/07,AQS,40,AQS,46
4/15/07,AQS,43,AQS,48
4/16/07,AQS,67,AQS,52
4/17/07,AQS,126,AQS,61
4/18/07,AQS,64,AQS,54
4/19/07,AQS,71,AQS,60
4/20/07,AQS,97,AQS,70
4/21/07,AQS,74,AQS,59
4/22/07,AQS,58,AQS,30
4/23/07,AQS,58,AQS,40
4/24/07,AQS,44,AQS,40
4/25/07,AQS,44,AQS,35
4/26/07,AQS,42,AQS,33
4/27/07,AQS,46,AQS,34
4/28/07,AQS,54,AQS,43
4/29/07,AQS,93,AQS,56
4/30/07,AQS,115,AQS,78
5/1/07,AQS,87,AQS,73
5/2/07,AQS,30,AQS,48
5/3/07,AQS,22,AQS,36
5/4/07,AQS,31,AQS,40
5/5/07,AQS,38,AQS,55
5/6/07,AQS,42,AQS,50
5/7/07,AQS,67,AQS,50
5/8/07,AQS,84,AQS,147
5/9/07,AQS,67,AQS,125
5/10/07,AQS,49,AQS,65
5/11/07,AQS,80,AQS,126
5/12/07,AQS,93,AQS,152
5/13/07,AQS,105,AQS,132
5/14/07,AQS,71,AQS,93
5/15/07,AQS,45,AQS,59
5/16/07,AQS,44,AQS,54
5/17/07,AQS,50,AQS,44
5/18/07,AQS,100,AQS,59
5/19/07,AQS,112,AQS,74
5/20/07,AQS,48,AQS,46
5/21/07,AQS,46,AQS,53
5/22/07,AQS,45,AQS,52
5/23/07,AQS,67,AQS,56
5/24/07,AQS,61,AQS,60
5/25/07,AQS,43,AQS,48
5/26/07,AQS,43,AQS,41
5/27/07,AQS,37,AQS,39
5/28/07,AQS,33,AQS,39
5/29/07,AQS,34,AQS,56
5/30/07,AQS,39,AQS,54
5/31/07,AQS,41,AQS,68
6/1/07,AQS,41,AQS,53
6/2/07,AQS,27,AQS,26
6/3/07,AQS,47,AQS,62
6/4/07,AQS,74,AQS,81
6/5/07,AQS,29,AQS,56
6/6/07,AQS,24,AQS,43
6/7/07,AQS,26,AQS,43
6/8/07,AQS,23,AQS,47
6/9/07,AQS,31,AQS,38
6/10/07,AQS,41,AQS,42
6/11/07,AQS,43,AQS,47
6/12/07,AQS,46,AQS,43
6/13/07,AQS,93,AQS,59
6/14/07,AQS,48,AQS,56
6/15/07,AQS,36,AQS,50
6/16/07,AQS,32,AQS,25
6/17/07,AQS,31,AQS,36
6/18/07,AQS,29,AQS,60
6/19/07,AQS,33,AQS,51
6/20/07,AQS,51,AQS,51
6/21/07,AQS,43,AQS,70
6/22/07,AQS,43,AQS,87
6/23/07,AQS,47,AQS,74
6/24/07,AQS,48,AQS,64
6/25/07,AQS,36,AQS,67
6/26/07,AQS,31,AQS,53
6/27/07,AQS,33,AQS,34
6/28/07,AQS,32,AQS,35
6/29/07,AQS,29,AQS,39
6/30/07,AQS,41,AQS,30
7/1/07,AQS,34,AQS,41
7/2/07,AQS,49,AQS,47
7/3/07,AQS,119,AQS,54
7/4/07,AQS,46,AQS,153
7/5/07,AQS,18,AQS,153
7/6/07,AQS,21,AQS,58
7/7/07,AQS,25,AQS,43
7/8/07,AQS,25,AQS,55
7/9/07,AQS,24,AQS,32
7/10/07,AQS,22,AQS,41
7/11/07,AQS,27,AQS,56
7/12/07,AQS,30,AQS,60
7/13/07,AQS,27,AQS,38
7/14/07,AQS,25,AQS,30
7/15/07,AQS,37,AQS,35
7/16/07,AQS,25,AQS,49
7/17/07,AQS,22,AQS,48
7/18/07,AQS,27,AQS,47
7/19/07,AQS,28,AQS,41
7/20/07,AQS,32,AQS,35
7/21/07,AQS,43,AQS,33
7/22/07,AQS,45,AQS,42
7/23/07,AQS,38,AQS,35
7/24/07,AQS,40,AQS,36
7/25/07,AQS,31,AQS,70
7/26/07,AQS,33,AQS,70
7/27/07,AQS,27,AQS,62
7/28/07,AQS,49,AQS,53
7/29/07,AQS,36,AQS,43
7/30/07,AQS,32,AQS,59
7/31/07,AQS,24,AQS,56
8/1/07,AQS,25,AQS,39
8/2/07,AQS,23,AQS,64
8/3/07,AQS,26,AQS,57
8/4/07,AQS,23,AQS,55
8/5/07,AQS,44,AQS,63
8/6/07,AQS,45,AQS,61
8/7/07,AQS,87,AQS,78
8/8/07,AQS,51,AQS,88
8/9/07,AQS,33,AQS,64
8/10/07,AQS,21,AQS,52
8/11/07,AQS,27,AQS,46
8/12/07,AQS,27,AQS,42
8/13/07,AQS,30,AQS,38
8/14/07,AQS,21,AQS,43
8/15/07,AQS,34,AQS,62
8/16/07,AQS,48,AQS,64
8/17/07,AQS,44,AQS,67
8/18/07,AQS,33,AQS,43
8/19/07,AQS,20,AQS,45
8/20/07,AQS,23,AQS,38
8/21/07,AQS,19,AQS,36
8/22/07,AQS,22,AQS,44
8/23/07,AQS,31,AQS,49
8/24/07,AQS,40,AQS,72
8/25/07,AQS,18,AQS,55
8/26/07,AQS,24,AQS,36
8/27/07,AQS,20,AQS,60
8/28/07,AQS,19,AQS,54
8/29/07,AQS,23,AQS,42
8/30/07,AQS,58,AQS,63
8/31/07,AQS,93,AQS,81
9/1/07,AQS,51,AQS,58
9/2/07,AQS,43,AQS,56
9/3/07,AQS,43,AQS,49
9/4/07,AQS,97,AQS,55
9/5/07,AQS,32,AQS,39
9/6/07,AQS,31,AQS,40
9/7/07,AQS,30,AQS,38
9/8/07,AQS,34,AQS,34
9/9/07,AQS,36,AQS,28
9/10/07,AQS,26,AQS,50
9/11/07,AQS,19,AQS,38
9/12/07,AQS,28,AQS,33
9/13/07,AQS,32,AQS,38
9/14/07,AQS,23,AQS,55
9/15/07,AQS,26,AQS,58
9/16/07,AQS,29,AQS,34
9/17/07,AQS,31,AQS,41
9/18/07,AQS,39,AQS,34
9/19/07,AQS,61,AQS,37
9/20/07,AQS,38,AQS,45
9/21/07,AQS,28,AQS,29
9/22/07,AQS,25,AQS,39
9/23/07,AQS,19,AQS,25
9/24/07,AQS,25,AQS,40
9/25/07,AQS,30,AQS,30
9/26/07,AQS,29,AQS,32
9/27/07,AQS,77,AQS,37
9/28/07,AQS,41,AQS,32
9/29/07,AQS,39,AQS,27
9/30/07,AQS,43,AQS,40
10/1/07,AQS,42,AQS,34
10/2/07,AQS,25,AQS,36
10/3/07,AQS,28,AQS,36
10/4/07,AQS,23,AQS,39
10/5/07,AQS,24,AQS,36
10/6/07,AQS,23,AQS,28
10/7/07,AQS,32,AQS,30
10/8/07,AQS,34,AQS,44
10/9/07,AQS,35,AQS,45
10/10/07,AQS,31,AQS,38
10/11/07,AQS,31,AQS,35
10/12/07,AQS,45,AQS,51
10/13/07,AQS,43,AQS,55
10/14/07,AQS,39,AQS,45
10/15/07,AQS,33,AQS,52
10/16/07,AQS,27,AQS,33
10/17/07,AQS,29,AQS,41
10/18/07,AQS,22,AQS,49
10/19/07,AQS,23,AQS,38
10/20/07,AQS,21,AQS,34
10/21/07,AQS,22,AQS,32
10/22/07,AQS,22,AQS,22
10/23/07,AQS,31,AQS,25
10/24/07,AQS,30,AQS,27
10/25/07,AQS,33,AQS,43
10/26/07,AQS,34,AQS,45
10/27/07,AQS,35,AQS,43
10/28/07,AQS,29,AQS,32
10/29/07,AQS,30,AQS,35
10/30/07,AQS,31,AQS,40
10/31/07,AQS,29,AQS,32
11/1/07,AQS,24,AQS,35
11/2/07,AQS,38,AQS,52
11/3/07,AQS,50,AQS,61
11/4/07,AQS,97,AQS,68
11/5/07,AQS,50,AQS,61
