Date,Source Ozone AQI Value,Ozone_AQI_Value,Source PM2.5 AQI Value,PM2.5 _AQI_Value
6/16/20,AirNow,31,AirNow,37
6/17/20,AirNow,74,AirNow,41
6/18/20,AirNow,45,AirNow,29
6/19/20,AirNow,45,AirNow,23
6/20/20,AirNow,61,AirNow,39
6/21/20,AirNow,49,AirNow,51
6/22/20,AirNow,42,AirNow,21
6/23/20,AirNow,67,AirNow,35
6/24/20,AirNow,46,AirNow,51
6/25/20,AirNow,47,AirNow,34
6/26/20,AirNow,67,AirNow,48
6/27/20,AirNow,50,AirNow,45
6/28/20,AirNow,46,AirNow,47
6/29/20,AirNow,39,AirNow,28
6/30/20,AirNow,35,AirNow,27
7/1/20,AirNow,34,AirNow,43
7/2/20,AirNow,48,AirNow,40
7/3/20,AirNow,35,AirNow,38
7/4/20,AirNow,34,AirNow,57
7/5/20,AirNow,44,AirNow,68
7/6/20,AirNow,32,AirNow,24
7/7/20,AirNow,38,AirNow,30
7/8/20,AirNow,44,AirNow,52
7/9/20,AirNow,61,AirNow,55
7/10/20,AirNow,26,AirNow,33
7/11/20,AirNow,31,AirNow,40
7/12/20,AirNow,38,AirNow,29
7/13/20,AirNow,44,AirNow,41
7/14/20,AirNow,41,AirNow,33
7/15/20,AirNow,22,AirNow,21
7/16/20,AirNow,31,AirNow,36
