Date,Source Ozone AQI Value,Ozone AQI Value,Source PM2.5 AQI Value,PM2.5 AQI Value
6/17/20,AirNow,136,AirNow,61
6/18/20,AirNow,161,AirNow,63
6/19/20,AirNow,174,AirNow,76
6/20/20,AirNow,74,AirNow,67
6/21/20,AirNow,77,AirNow,55
6/22/20,AirNow,80,AirNow,51
6/23/20,AirNow,48,AirNow,30
6/24/20,AirNow,40,AirNow,40
6/25/20,AirNow,97,AirNow,44
6/26/20,AirNow,49,AirNow,45
6/27/20,AirNow,112,AirNow,39
6/28/20,AirNow,77,AirNow,54
6/29/20,AirNow,58,AirNow,69
6/30/20,AirNow,87,AirNow,58
7/1/20,AirNow,122,AirNow,58
7/2/20,AirNow,105,AirNow,55
7/3/20,AirNow,140,AirNow,69
7/4/20,AirNow,90,AirNow,105
7/5/20,AirNow,90,AirNow,155
7/6/20,AirNow,156,AirNow,70
7/7/20,AirNow,136,AirNow,59
7/8/20,AirNow,119,AirNow,54
7/9/20,AirNow,133,AirNow,59
7/10/20,AirNow,54,AirNow,36
7/11/20,AirNow,84,AirNow,41
7/12/20,AirNow,39,AirNow,30
7/13/20,AirNow,48,AirNow,32
