Date,Value
1985,57.3
1986,58.9
1987,58.3
1988,58.8
1989,58.1
1990,58
1991,58.1
1992,59.3
1993,57.7
1994,58
1995,58.9
1996,59.6
1997,59.1
1998,56.7
1999,58
2000,58.8
2001,59.1
2002,58.8
2003,59.4
2004,58.9
2005,58.6
2006,58.6
2007,58.9
2008,58.9
2009,58.8
2010,57.7
2011,57.4
2012,59.5
2013,59.3
2014,61.4
2015,60.8
2016,60.1
2017,60.3
2018,60.1
2019,58.4
2020,
